x,y,z,phi,alpha,beta,phi_dot,phi_dot_dot,alpha_dot,alpha_dot_dot,beta_dot,beta_dot_dot
0.5,0.5,0.0,-1.7444505526885632,0.8794336838642456,-0.012348778968010418,0.34793572454444555,68.86814740919122,5.151531858424422,-1.0274879771812557,-2.4442374562311615,0.4875102530030213
0.5,0.5,0.0,-1.7374262660058388,0.8441102352043718,-0.03699661272955159,1.04240615927234,68.5908396861579,5.130788457831616,-3.0783266001051306,-2.434395374673298,1.4605677272839235
0.5,0.5,0.0,-1.7234059769636834,0.8184300042721007,-0.06149547418935461,1.7326791923075981,68.03734086041788,5.089385182998937,-5.1167698882865595,-2.414750842146304,2.427744010825325
0.5,0.5,0.0,-1.7024461403176958,0.79985352816074,-0.08574671507904152,2.415975337773758,67.20987967638848,5.027488750301109,-7.134609750059907,-2.3853829602492493,3.3851446260922535
0.5,0.5,0.0,-1.6746311539324057,0.7864278888316729,-0.1096526842108741,3.0895432032581485,66.11178802821048,4.945348394826645,-9.12372105648583,-2.3464099830773226,4.328914458715618
0.5,0.5,0.0,-1.6400730189408608,0.7767044990678948,-0.13311712068462092,3.7506705686980357,64.74748754338651,4.843294866796115,-11.07609435837777,-2.2979888410543268,5.2552532806771115
0.5,0.5,0.0,-1.5989108887555927,0.7696327071203274,-0.15604554149622937,4.396695307533592,63.122471778447576,4.721739099747739,-12.983868137527033,-2.240314509029246,6.16043105248623
0.5,0.5,0.0,-1.5513105087469417,0.7644606452181179,-0.1783456219875337,5.025016106151912,61.24328409833994,4.581170555853074,-14.8393604622618,-2.173619221181352,7.040802942732726
0.5,0.5,0.0,-1.4974635488449444,0.7606541931543161,-0.19992756760507008,5.633102938458878,59.117491328603805,4.422155255025591,-16.635099919874836,-2.0981715358951205,7.892824004536359
0.5,0.5,0.0,-1.437586831752176,0.7578351292877423,-0.22070447547105046,6.218507253401262,56.75365328643753,4.245333495758259,-18.363855701365434,-2.0142752543704074,8.71306344979679
0.5,0.5,0.0,-1.371921459875257,0.7557357586314689,-0.24059268431057798,6.778871834417579,54.16128831333509,4.051417276867514,-20.01866671735505,-1.9222681973222457,9.498218463766332
0.5,0.5,0.0,-1.3007318444905505,0.7541664153875458,-0.2595121113260757,7.311940291117273,51.35083494808406,3.8411874305253053,-21.592869627937564,-1.822520844696049,10.245127504319312
0.5,0.5,0.0,-1.22430464105328,0.7529925268366311,-0.2773865746624458,7.815566144968399,48.33360989445431,3.6154904781235406,-23.080125673597152,-1.7154348438756373,10.950783032366308
0.5,0.5,0.0,-1.142947594937181,0.7521185755137039,-0.29414410016451353,8.287721472409112,45.121762452826,3.3752352216312045,-24.474446199155718,-1.6014413923909756,11.612343622152606
0.5,0.5,0.0,-1.0569883022525035,0.7514769599670122,-0.3097172111915457,8.726505070580076,41.72822559924511,3.1213890841696044,-25.770216767973537,-1.4809995016379185,12.227145402676806
